ComplaintID,BuildingID,BoroughID,Borough,HouseNumber,StreetName,Zip,Block,Lot,Apartment,CommunityBoard,ReceivedDate,StatusID,Status,StatusDate
6123763,6656,1,MANHATTAN,90,AVENUE D,10009,362,1,14A,3,11/05/2012,2,CLOSE,02/20/2015
6130839,21819,1,MANHATTAN,452,FT WASHINGTON AVENUE,10033,2176,100,29,12,11/06/2012,2,CLOSE,11/09/2012
6135364,21819,1,MANHATTAN,452,FT WASHINGTON AVENUE,10033,2176,100,55,12,11/07/2012,2,CLOSE,11/09/2012
6134185,864088,1,MANHATTAN,28,JACKSON STREET,10002,263,1,5,3,11/07/2012,2,CLOSE,02/20/2015
6131707,806411,2,BRONX,601,CROTONA PARK NO,10457,2944,1,2D,6,11/07/2012,2,CLOSE,02/20/2015
6139983,358,1,MANHATTAN,1780,1 AVENUE,10128,1573,20,19H,8,11/08/2012,2,CLOSE,02/20/2015
6139499,63984,2,BRONX,377,EAST 155 STREET,10455,2402,32,1D,1,11/08/2012,2,CLOSE,02/20/2015
6140609,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,BLDG,6,11/09/2012,2,CLOSE,02/24/2016
6146635,66168,2,BRONX,943,EAST 179 STREET,10460,3127,35,7,6,11/12/2012,2,CLOSE,11/14/2012
6146436,66168,2,BRONX,943,EAST 179 STREET,10460,3127,35,NA,6,11/12/2012,2,CLOSE,11/14/2012
6146998,358,1,MANHATTAN,1780,1 AVENUE,10128,1573,20,NA,8,11/12/2012,2,CLOSE,02/20/2015
6148990,88332,2,BRONX,875,IRVINE STREET,10474,2761,3,10B,2,11/13/2012,2,CLOSE,02/20/2015
6151422,807641,3,BROOKLYN,29,AVENUE W,11223,7137,1,1B,13,11/14/2012,2,CLOSE,02/20/2015
6169884,693426,4,QUEENS,132-35,SANFORD AVENUE,11355,5040,19,6R,7,11/25/2012,2,CLOSE,01/27/2015
6173541,5685,1,MANHATTAN,1835,AMSTERDAM AVENUE,10031,2065,61,1C,9,11/26/2012,1,OPEN,11/26/2012
6173539,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,11/26/2012,2,CLOSE,02/24/2016
6172385,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,11/26/2012,2,CLOSE,02/24/2016
6173368,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,11/26/2012,2,CLOSE,02/24/2016
6173578,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,5T,6,11/26/2012,2,CLOSE,02/24/2016
6175938,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,11/27/2012,2,CLOSE,02/24/2016
6175071,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,11/27/2012,2,CLOSE,02/24/2016
6174507,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,11/27/2012,2,CLOSE,02/24/2016
6176984,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,11/28/2012,2,CLOSE,02/24/2016
6184941,806988,2,BRONX,3661,THIRD AVENUE,10456,2910,1,5E,3,12/02/2012,2,CLOSE,02/20/2015
6185428,811818,4,QUEENS,85-02,ROCKAWAY BEACH BOULEVARD,11693,16114,2,5,14,12/02/2012,2,CLOSE,02/20/2015
6192445,808047,3,BROOKLYN,68,CUMBERLAND WALK,11205,2041,1,NA,2,12/07/2012,2,CLOSE,02/20/2015
6196793,41995,1,MANHATTAN,533,WEST 145 STREET,10031,2077,10,5E,9,12/11/2012,2,CLOSE,03/19/2016
6202054,5685,1,MANHATTAN,1835,AMSTERDAM AVENUE,10031,2065,61,NA,9,12/13/2012,2,CLOSE,12/16/2012
6204450,1888,1,MANHATTAN,1785,3 AVENUE,10029,1649,1,2B,11,12/15/2012,2,CLOSE,02/20/2015
6206254,804634,1,MANHATTAN,435,EAST 105 STREET,10029,1699,1,9A,11,12/17/2012,2,CLOSE,02/20/2015
6213941,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,12/21/2012,2,CLOSE,02/24/2016
6215466,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,12/22/2012,2,CLOSE,02/24/2016
6216977,806411,2,BRONX,601,CROTONA PARK NO,10457,2944,1,6D,6,12/23/2012,2,CLOSE,02/20/2015
6217820,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,12/24/2012,2,CLOSE,02/24/2016
6217825,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,12/24/2012,2,CLOSE,02/24/2016
6228296,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,12/29/2012,2,CLOSE,02/24/2016
6230977,5537,1,MANHATTAN,1320,AMSTERDAM AVENUE,10027,1980,1,16I,9,12/31/2012,2,CLOSE,02/20/2015
6235977,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,01/02/2013,2,CLOSE,02/24/2016
6234198,812041,4,QUEENS,107-47,159 STREET,11433,10125,33,BLDG,12,01/02/2013,2,CLOSE,02/20/2015
