"addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_num","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","juris_desc","ky_cd","lat_lon_latitude","lat_lon_longitude","latitude","law_cat_cd","loc_of_occur_desc","longitude","ofns_desc","pd_cd","pd_desc","prem_typ_desc","rpt_dt","x_coord_cd","y_coord_cd"
20,"MANHATTAN","2016-10-01T00:00:00","10:00:00",951151453,"2018-04-12T00:00:00","10:15:00","COMPLETED",NULL,"N.Y. POLICE DEPT",578,40.773914744,-73.988780154,40.773914744,"VIOLATION","INSIDE",-73.988780154,"HARRASSMENT 2",637.0,"HARASSMENT\,SUBD 1\,CIVILIAN","GYM/FITNESS FACILITY","2018-04-13T00:00:00",987358.0,221232.0
24,"MANHATTAN","2016-12-26T00:00:00","00:01:00",434208277,"2018-04-11T00:00:00","07:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.792531066,-73.967772735,40.792531066,"FELONY","INSIDE",-73.967772735,"GRAND LARCENY",439.0,"LARCENY\,GRAND FROM OPEN AREAS\, UNATTENDED","MAILBOX OUTSIDE","2018-04-12T00:00:00",993174.0,228016.0
25,"MANHATTAN","2016-11-30T00:00:00","08:00:00",758504977,"2016-11-30T00:00:00","18:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.804046007,-73.936620103,40.804046007,"FELONY","INSIDE",-73.936620103,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","PUBLIC BUILDING","2018-04-12T00:00:00",1001797.0,232216.0
6,"MANHATTAN","2016-09-01T00:00:00","16:00:00",112249779,"2018-03-31T00:00:00","23:59:00","COMPLETED",NULL,"N.Y. POLICE DEPT",233,40.734226128,-74.005406689,40.734226128,"MISDEMEANOR","INSIDE",-74.005406689,"SEX CRIMES",175.0,"SEXUAL ABUSE 3\,2","GYM/FITNESS FACILITY","2018-04-11T00:00:00",982752.0,206772.0
23,"MANHATTAN","2016-04-03T00:00:00","14:00:00",462985519,"2018-04-03T00:00:00","14:20:00","COMPLETED",NULL,"N.Y. HOUSING POLICE",578,40.789788465,-73.944517181,40.789788465,"VIOLATION","INSIDE",-73.944517181,"HARRASSMENT 2",637.0,"HARASSMENT\,SUBD 1\,CIVILIAN","RESIDENCE - PUBLIC HOUSING","2018-04-09T00:00:00",999614.0,227020.0
5,"MANHATTAN","2016-04-06T00:00:00","00:00:00",757511095,"2018-04-05T00:00:00","00:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",125,40.716344152,-74.001253193,40.716344152,"FELONY","INSIDE",-74.001253193,"NYS LAWS-UNCLASSIFIED FELONY",847.0,"NY STATE LAWS\,UNCLASSIFIED FEL","PUBLIC BUILDING","2018-04-06T00:00:00",983903.0,200257.0
14,"MANHATTAN","2016-08-01T00:00:00","12:00:00",562074073,"2017-06-30T00:00:00","12:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.7442158,-73.982336146,40.7442158,"FELONY","INSIDE",-73.982336146,"GRAND LARCENY",420.0,"LARCENY\,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE - APT. HOUSE","2018-04-04T00:00:00",989145.0,210412.0
13,"MANHATTAN","2016-03-01T00:00:00","00:01:00",623636864,"2018-03-30T00:00:00","15:30:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.732908785,-73.97490979,40.732908785,"FELONY","INSIDE",-73.97490979,"GRAND LARCENY",407.0,"LARCENY\,GRAND BY DISHONEST EMP","RESIDENCE - APT. HOUSE","2018-04-04T00:00:00",991204.0,206293.0
6,"MANHATTAN","2016-05-01T00:00:00","12:00:00",109633287,"2018-04-03T00:00:00","12:34:00","COMPLETED",NULL,"N.Y. POLICE DEPT",361,40.730372616,-73.999110247,40.730372616,"MISDEMEANOR","INSIDE",-73.999110247,"OFF. AGNST PUB ORD SENSBLTY &",639.0,"AGGRAVATED HARASSMENT 2",NULL,"2018-04-03T00:00:00",984497.0,205368.0
13,"MANHATTAN","2016-04-18T00:00:00","06:45:00",673889637,"2018-03-26T00:00:00","11:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.74242932,-73.984808613,40.74242932,"FELONY","INSIDE",-73.984808613,"GRAND LARCENY",407.0,"LARCENY\,GRAND BY DISHONEST EMP","RESTAURANT/DINER","2018-04-03T00:00:00",988460.0,209761.0
17,"MANHATTAN","2016-10-01T00:00:00","00:01:00",539810329,"2018-03-05T00:00:00","12:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.758144054,-73.964598483,40.758144054,"FELONY","INSIDE",-73.964598483,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","2018-04-02T00:00:00",994058.0,215488.0
